states,x,y
Andhra Pradesh,-49,-153
Assam,144,73
Bihar,54,56
Chhattisgarh,-3,-26
Gujarat,-170,6
Haryana,-85,118
Himachal Pradesh,-70,174
Jharkhand,45,14
Karnataka,-106,-157
Kerala,-87,-249
Madhya Pradesh,-64,4
Maharashtra,-124,-75
Odisha,42,-49
Punjab,-100,150
Rajasthan,-142,70
Tamil Nadu,-50,-220
Uttar Pradesh,-35,87
Uttarakhand,-37,137
West Bengal,93,0
Tripura,144,24
Sikkim,95,97
Arunachal Pradesh,188,121
Nagaland,191,75
Mizoram,166,1
Manipur,181,41
Meghalaya,125,56
Telangana,-53,-93
Goa,-143.0,-141.0